"Scenario","Sector","Subsector","Technology","Enduse","Unit","Parameters","Fuel","Period","FuelGroup","Technology_Group","Value"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","PJ","End Use Demand","Electricity","2035","Electricity","Stationary Motive Power","0.636600"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","PJ","End Use Demand","Electricity","2040","Electricity","Stationary Motive Power","0.685500"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","PJ","End Use Demand","Electricity","2045","Electricity","Stationary Motive Power","0.749100"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","PJ","End Use Demand","Electricity","2050","Electricity","Stationary Motive Power","0.818550"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","PJ","End Use Demand","Electricity","2055","Electricity","Stationary Motive Power","0.894450"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","PJ","End Use Demand","Electricity","2060","Electricity","Stationary Motive Power","0.977400"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","PJ","Fuel Consumption","Electricity","2018","Electricity","Stationary Motive Power","0.000000"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","PJ","Fuel Consumption","Electricity","2025","Electricity","Stationary Motive Power","0.637500"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","PJ","Fuel Consumption","Electricity","2030","Electricity","Stationary Motive Power","0.656833"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","PJ","Fuel Consumption","Electricity","2035","Electricity","Stationary Motive Power","0.707333"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","PJ","Fuel Consumption","Electricity","2040","Electricity","Stationary Motive Power","0.761667"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","PJ","Fuel Consumption","Electricity","2045","Electricity","Stationary Motive Power","0.832333"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","PJ","Fuel Consumption","Electricity","2050","Electricity","Stationary Motive Power","0.909500"
"Kea","Industry","Mining","Stationary Motor with VSD","Motive Power, Stationary","PJ","Fuel Consumption","Electricity","2055","Electricity","Stationary Motive Power","0.993833"
