Attribute,Commodity,Process,Period,Region,Vintage,TimeSlice,UserConstraint,Value,Scenario,Variable,ProcessGroup,Description,Fuel,CommodityGroup
VAR_FOut,RESPET,IMPNRGZ,2033,NI,2033,ANNUAL,-,3.58521364288647,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,LPG,IMPNRGZ,2038,NI,2038,ANNUAL,-,0.247984224499999,traditional-v3_0_0,Production,Production,Infeasible Energy,LPG,Energy
VAR_FOut,AGRDSL,IMPNRGZ,2038,NI,2038,ANNUAL,-,0.968565736825978,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,AGRPET,IMPNRGZ,2038,NI,2038,ANNUAL,-,0.261596829999995,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,COMDSL,IMPNRGZ,2038,NI,2038,ANNUAL,-,2.006755901,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,COMPET,IMPNRGZ,2038,NI,2038,ANNUAL,-,0.0823664274999996,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,INDDSL,IMPNRGZ,2038,NI,2038,ANNUAL,-,0.899457001875002,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,INDPET,IMPNRGZ,2038,NI,2038,ANNUAL,-,0.0121842231249991,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,JET,IMPNRGZ,2038,NI,2038,ANNUAL,-,42.0847590347672,traditional-v3_0_0,Production,Production,Infeasible Energy,Jet fuel,Energy
VAR_FOut,RESLPG,IMPNRGZ,2038,NI,2038,ANNUAL,-,0.474974642234066,traditional-v3_0_0,Production,Production,Infeasible Energy,LPG,Energy
VAR_FOut,TRAFOL,IMPNRGZ,2038,NI,2038,ANNUAL,-,3.43114330820737,traditional-v3_0_0,Production,Production,Infeasible Energy,Fuel oil,Energy
VAR_FOut,AGRDSL,IMPNRGZ,2043,NI,2043,ANNUAL,-,0.234396818823529,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,COMDSL,IMPNRGZ,2043,NI,2043,ANNUAL,-,0.469421508,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,COMLPG,IMPNRGZ,2043,NI,2043,ANNUAL,-,0.006579746,traditional-v3_0_0,Production,Production,Infeasible Energy,LPG,Energy
VAR_FOut,TRAFOL,IMPNRGZ,2043,NI,2043,ANNUAL,-,3.43114330820737,traditional-v3_0_0,Production,Production,Infeasible Energy,Fuel oil,Energy
VAR_FOut,TRAJET,IMPNRGZ,2043,NI,2043,ANNUAL,-,42.0847590347672,traditional-v3_0_0,Production,Production,Infeasible Energy,Jet fuel,Energy
VAR_FOut,AGRDSL,IMPNRGZ,2048,NI,2048,ANNUAL,-,0.137839248529412,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,TRAFOL,IMPNRGZ,2048,NI,2048,ANNUAL,-,3.43114330820737,traditional-v3_0_0,Production,Production,Infeasible Energy,Fuel oil,Energy
VAR_FOut,TRAJET,IMPNRGZ,2048,NI,2048,ANNUAL,-,42.0847590347672,traditional-v3_0_0,Production,Production,Infeasible Energy,Jet fuel,Energy
VAR_FOut,COA,IMPNRGZ,2023,SI,2023,ANNUAL,-,21.1484949029999,traditional-v3_0_0,Production,Production,Infeasible Energy,Coal,Energy
VAR_FOut,LPG,IMPNRGZ,2023,SI,2023,ANNUAL,-,0.97377836,traditional-v3_0_0,Production,Production,Infeasible Energy,LPG,Energy
VAR_FOut,AGRDSL,IMPNRGZ,2023,SI,2023,ANNUAL,-,7.49275601,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,AGRPET,IMPNRGZ,2023,SI,2023,ANNUAL,-,1.14360126,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,COMDSL,IMPNRGZ,2023,SI,2023,ANNUAL,-,1.91686995,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,COMPET,IMPNRGZ,2023,SI,2023,ANNUAL,-,0.1038668,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,FOL,IMPNRGZ,2023,SI,2023,ANNUAL,-,1.64670601155725,traditional-v3_0_0,Production,Production,Infeasible Energy,Fuel oil,Energy
VAR_FOut,INDCOA,IMPNRGZ,2023,SI,2023,ANNUAL,-,13.92899011,traditional-v3_0_0,Production,Production,Infeasible Energy,Coal,Energy
VAR_FOut,INDDSL,IMPNRGZ,2023,SI,2023,ANNUAL,-,5.74367438999999,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,INDFOL,IMPNRGZ,2023,SI,2023,ANNUAL,-,0.100388829999999,traditional-v3_0_0,Production,Production,Infeasible Energy,Fuel oil,Energy
VAR_FOut,INDPET,IMPNRGZ,2023,SI,2023,ANNUAL,-,0.047563240000001,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,JET,IMPNRGZ,2023,SI,2023,ANNUAL,-,15.6213676264241,traditional-v3_0_0,Production,Production,Infeasible Energy,Jet fuel,Energy
VAR_FOut,RESDSL,IMPNRGZ,2023,SI,2023,ANNUAL,-,0.619253283418439,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
