Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20250317193604

Parameters
Date range,01 Sep 2013 - 28 Feb 2025
Region type,Regional council
Market segment,Industrial
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
28/02/2015,2,Auckland,All combined,Solar (All),22,0.15201,0.157,7.157,2,14.200
28/02/2015,3,Waikato,All combined,Solar (All),22,0.12900,0.260,11.814,3,3.333
28/02/2015,4,Bay of Plenty,All combined,Solar (All),8,0.13380,0.100,12.500,0,
28/02/2015,5,Gisborne,All combined,Solar (All),1,0.08110,0.005,5.000,0,
28/02/2015,6,Hawke's Bay,All combined,Solar (All),14,0.24915,0.144,10.261,1,20.000
28/02/2015,7,Taranaki,All combined,Solar (All),5,0.10862,0.088,17.500,0,
28/02/2015,8,Manawatu-Wanganui,All combined,Solar (All),3,0.03503,0.058,19.333,0,
28/02/2015,9,Wellington,All combined,Solar (All),9,0.15842,0.101,11.233,1,20.000
28/02/2015,16,Tasman,All combined,Solar (All),4,0.19656,0.016,3.975,0,
28/02/2015,17,Nelson,All combined,Solar (All),4,0.39139,0.028,7.025,0,
28/02/2015,18,Marlborough,All combined,Solar (All),10,0.61958,0.083,8.280,0,
28/02/2015,12,West Coast,All combined,Solar (All),1,0.08518,0.010,10.000,1,10.000
28/02/2015,13,Canterbury,All combined,Solar (All),39,0.18805,0.285,7.316,2,6.400
28/02/2015,14,Otago,All combined,Solar (All),18,0.24882,0.140,7.766,2,7.095
28/02/2015,15,Southland,All combined,Solar (All),4,0.06137,0.057,14.218,0,
31/03/2015,1,Northland,All combined,Solar (All),15,0.24089,0.314,20.930,2,5.975
31/03/2015,2,Auckland,All combined,Solar (All),23,0.15924,0.161,7.011,1,3.800
31/03/2015,3,Waikato,All combined,Solar (All),22,0.12850,0.260,11.814,0,
31/03/2015,4,Bay of Plenty,All combined,Solar (All),8,0.13409,0.100,12.500,0,
31/03/2015,5,Gisborne,All combined,Solar (All),1,0.08137,0.005,5.000,0,
31/03/2015,6,Hawke's Bay,All combined,Solar (All),14,0.24902,0.144,10.261,0,
31/03/2015,7,Taranaki,All combined,Solar (All),5,0.10832,0.088,17.500,0,
31/03/2015,8,Manawatu-Wanganui,All combined,Solar (All),3,0.03504,0.058,19.333,0,
31/03/2015,9,Wellington,All combined,Solar (All),8,0.14099,0.095,11.888,0,
31/03/2015,16,Tasman,All combined,Solar (All),4,0.19714,0.016,3.975,0,
31/03/2015,17,Nelson,All combined,Solar (All),4,0.39101,0.028,7.025,0,
31/03/2015,18,Marlborough,All combined,Solar (All),10,0.61728,0.083,8.280,0,
31/03/2015,12,West Coast,All combined,Solar (All),1,0.08540,0.010,10.000,0,
31/03/2015,13,Canterbury,All combined,Solar (All),46,0.22162,0.336,7.311,7,7.286
31/03/2015,14,Otago,All combined,Solar (All),18,0.24951,0.140,7.766,0,
31/03/2015,15,Southland,All combined,Solar (All),4,0.06130,0.057,14.218,0,
30/04/2015,1,Northland,All combined,Solar (All),14,0.22537,0.305,21.804,0,
30/04/2015,2,Auckland,All combined,Solar (All),23,0.15878,0.161,7.011,0,
30/04/2015,3,Waikato,All combined,Solar (All),21,0.12251,0.257,12.233,0,
