Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20250317193533

Parameters
Date range,01 Sep 2013 - 28 Feb 2025
Region type,Regional council
Market segment,Commercial
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
31/10/2014,8,Manawatu-Wanganui,All combined,Solar (All),4,0.03663,0.119,29.625,0,
31/10/2014,9,Wellington,All combined,Solar (All),19,0.10113,0.085,4.447,0,
31/10/2014,16,Tasman,All combined,Solar (All),5,0.29586,0.071,14.200,0,
31/10/2014,17,Nelson,All combined,Solar (All),10,0.40355,0.093,9.290,0,
31/10/2014,18,Marlborough,All combined,Solar (All),4,0.17361,0.018,4.450,0,
31/10/2014,12,West Coast,All combined,Solar (All),1,0.04564,0.003,3.000,0,
31/10/2014,13,Canterbury,All combined,Solar (All),28,0.12004,0.151,5.386,1,2.000
31/10/2014,14,Otago,All combined,Solar (All),9,0.07606,0.065,7.188,0,
31/10/2014,15,Southland,All combined,Solar (All),4,0.08433,0.017,4.250,0,
30/11/2014,1,Northland,All combined,Solar (All),10,0.11184,0.059,5.940,0,
30/11/2014,2,Auckland,All combined,Solar (All),32,0.05614,0.644,20.127,6,67.000
30/11/2014,3,Waikato,All combined,Solar (All),20,0.09867,0.129,6.430,2,7.500
30/11/2014,4,Bay of Plenty,All combined,Solar (All),12,0.09596,0.145,12.083,0,
30/11/2014,5,Gisborne,All combined,Solar (All),1,0.06460,0.005,5.000,0,
30/11/2014,6,Hawke's Bay,All combined,Solar (All),7,0.10907,0.041,5.871,1,2.100
30/11/2014,7,Taranaki,All combined,Solar (All),1,0.01714,0.003,3.000,0,
30/11/2014,8,Manawatu-Wanganui,All combined,Solar (All),4,0.03657,0.119,29.625,0,
30/11/2014,9,Wellington,All combined,Solar (All),20,0.10643,0.089,4.425,1,4.000
30/11/2014,16,Tasman,All combined,Solar (All),5,0.29481,0.071,14.200,0,
30/11/2014,17,Nelson,All combined,Solar (All),10,0.40274,0.093,9.290,0,
30/11/2014,18,Marlborough,All combined,Solar (All),4,0.17391,0.018,4.450,0,
30/11/2014,12,West Coast,All combined,Solar (All),1,0.04715,0.003,3.000,0,
30/11/2014,13,Canterbury,All combined,Solar (All),29,0.12458,0.154,5.304,1,5.000
30/11/2014,14,Otago,All combined,Solar (All),9,0.07641,0.065,7.188,0,
30/11/2014,15,Southland,All combined,Solar (All),4,0.08525,0.017,4.250,0,
31/12/2014,1,Northland,All combined,Solar (All),10,0.11233,0.059,5.940,0,
31/12/2014,2,Auckland,All combined,Solar (All),36,0.06280,0.727,20.193,4,20.725
31/12/2014,3,Waikato,All combined,Solar (All),18,0.08985,0.113,6.294,0,
31/12/2014,4,Bay of Plenty,All combined,Solar (All),12,0.09918,0.145,12.083,0,
31/12/2014,5,Gisborne,All combined,Solar (All),1,0.06570,0.005,5.000,0,
31/12/2014,6,Hawke's Bay,All combined,Solar (All),7,0.10970,0.041,5.871,0,
31/12/2014,7,Taranaki,All combined,Solar (All),1,0.01716,0.003,3.000,0,
31/12/2014,8,Manawatu-Wanganui,All combined,Solar (All),4,0.03654,0.119,29.625,0,
31/12/2014,9,Wellington,All combined,Solar (All),23,0.12087,0.101,4.370,3,4.000
31/12/2014,16,Tasman,All combined,Solar (All),5,0.29869,0.071,14.200,0,
31/12/2014,17,Nelson,All combined,Solar (All),10,0.40750,0.093,9.290,0,
31/12/2014,18,Marlborough,All combined,Solar (All),5,0.23946,0.045,9.000,2,16.000
31/12/2014,12,West Coast,All combined,Solar (All),1,0.04876,0.003,3.000,0,
31/12/2014,13,Canterbury,All combined,Solar (All),30,0.12996,0.164,5.454,1,9.800
31/12/2014,14,Otago,All combined,Solar (All),10,0.08656,0.067,6.669,1,2.000
31/12/2014,15,Southland,All combined,Solar (All),4,0.08762,0.017,4.250,0,
31/01/2015,1,Northland,All combined,Solar (All),11,0.12631,0.074,6.764,1,15.000
31/01/2015,2,Auckland,All combined,Solar (All),37,0.06469,0.757,20.458,2,17.500
31/01/2015,3,Waikato,All combined,Solar (All),18,0.09283,0.113,6.294,0,
31/01/2015,4,Bay of Plenty,All combined,Solar (All),12,0.10344,0.145,12.083,0,
31/01/2015,5,Gisborne,All combined,Solar (All),1,0.06812,0.005,5.000,0,
31/01/2015,6,Hawke's Bay,All combined,Solar (All),8,0.12864,0.043,5.325,1,1.500
31/01/2015,7,Taranaki,All combined,Solar (All),1,0.01766,0.003,3.000,0,
31/01/2015,8,Manawatu-Wanganui,All combined,Solar (All),4,0.03755,0.119,29.625,0,
31/01/2015,9,Wellington,All combined,Solar (All),23,0.12285,0.101,4.370,0,
31/01/2015,16,Tasman,All combined,Solar (All),6,0.37267,0.081,13.500,1,10.000
31/01/2015,17,Nelson,All combined,Solar (All),11,0.46472,0.103,9.355,1,10.000
31/01/2015,18,Marlborough,All combined,Solar (All),4,0.20844,0.044,11.000,0,
31/01/2015,12,West Coast,All combined,Solar (All),1,0.05107,0.003,3.000,0,
31/01/2015,13,Canterbury,All combined,Solar (All),29,0.12857,0.159,5.470,1,3.000
31/01/2015,14,Otago,All combined,Solar (All),11,0.09840,0.127,11.563,1,60.500
31/01/2015,15,Southland,All combined,Solar (All),4,0.09221,0.017,4.250,0,
28/02/2015,1,Northland,All combined,Solar (All),10,0.11562,0.059,5.940,0,
28/02/2015,2,Auckland,All combined,Solar (All),37,0.06451,0.773,20.891,1,20.000
28/02/2015,3,Waikato,All combined,Solar (All),17,0.08814,0.113,6.665,0,
28/02/2015,4,Bay of Plenty,All combined,Solar (All),12,0.10368,0.145,12.083,0,
28/02/2015,5,Gisborne,All combined,Solar (All),2,0.13736,0.010,5.000,1,5.000
28/02/2015,6,Hawke's Bay,All combined,Solar (All),8,0.12889,0.043,5.325,0,
28/02/2015,7,Taranaki,All combined,Solar (All),1,0.01779,0.003,3.000,0,
28/02/2015,8,Manawatu-Wanganui,All combined,Solar (All),4,0.03777,0.119,29.625,0,
28/02/2015,9,Wellington,All combined,Solar (All),25,0.13398,0.110,4.380,2,4.500
28/02/2015,16,Tasman,All combined,Solar (All),6,0.37290,0.081,13.500,0,
28/02/2015,17,Nelson,All combined,Solar (All),12,0.50569,0.112,9.325,1,9.000
28/02/2015,18,Marlborough,All combined,Solar (All),4,0.20779,0.044,11.000,0,
28/02/2015,12,West Coast,All combined,Solar (All),1,0.05110,0.003,3.000,0,
28/02/2015,13,Canterbury,All combined,Solar (All),28,0.12447,0.157,5.594,0,
28/02/2015,14,Otago,All combined,Solar (All),12,0.10763,0.132,11.016,1,5.000
